               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089461,            0.076704,            0.068608,             0.60343,            0.070584,            0.029035,             0.01049,            0.060354,            0.055393,            0.065873,            0.070019,           0.0033312,           0.0033312
                   1,             0.06596,              0.0653,            0.058184,             0.72449,              0.1228,            0.078183,            0.030636,            0.055485,            0.052362,            0.056088,            0.039986,           0.0066316,           0.0066316
                   2,            0.061833,            0.060787,            0.048288,              0.8005,              0.1176,             0.11273,            0.045374,            0.051608,            0.050494,            0.047773,           0.0099199,           0.0098989,           0.0098989
                   3,            0.057196,            0.058456,            0.041438,             0.72097,             0.20401,             0.17192,            0.078914,            0.047393,            0.046738,            0.041128,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053887,            0.058277,            0.035481,             0.75433,             0.20506,              0.2057,            0.098083,            0.046124,            0.046485,            0.037094,           0.0098515,           0.0098515,           0.0098515
                   5,            0.051589,            0.056876,            0.031856,             0.82276,             0.23046,             0.23613,             0.11508,            0.044567,            0.045191,            0.033724,            0.009802,            0.009802,            0.009802
                   6,            0.050164,            0.055588,            0.030124,             0.84756,             0.24248,             0.26267,             0.13193,            0.043021,            0.043508,             0.03133,           0.0097525,           0.0097525,           0.0097525
                   7,            0.049286,            0.054362,            0.028219,             0.79054,             0.25085,              0.2791,              0.1403,            0.042662,            0.043259,            0.029955,            0.009703,            0.009703,            0.009703
                   8,            0.048628,            0.054122,            0.026693,             0.74247,              0.2792,             0.29897,             0.15403,            0.041884,            0.042972,            0.027943,           0.0096535,           0.0096535,           0.0096535
                   9,            0.047809,            0.053175,            0.025362,             0.78283,             0.28548,             0.32403,             0.17063,            0.040594,            0.042326,            0.025759,            0.009604,            0.009604,            0.009604
                  10,            0.047071,            0.052621,            0.024505,             0.80065,             0.30295,             0.33343,             0.17505,            0.040745,            0.041822,            0.024829,           0.0095545,           0.0095545,           0.0095545
                  11,            0.046706,            0.052073,            0.023553,             0.80394,             0.30946,             0.35051,             0.18607,            0.040423,            0.041086,            0.022807,            0.009505,            0.009505,            0.009505
                  12,            0.046219,            0.051832,            0.022594,             0.74665,              0.3266,             0.36562,             0.19116,            0.040441,            0.041562,            0.021955,           0.0094555,           0.0094555,           0.0094555
                  13,            0.045694,            0.051556,            0.021734,             0.50123,             0.42254,             0.37437,             0.20232,            0.039607,            0.040628,            0.021006,            0.009406,            0.009406,            0.009406
                  14,            0.045629,            0.051078,            0.020975,             0.53683,             0.43513,             0.39323,             0.20941,            0.039846,            0.040856,            0.020633,           0.0093565,           0.0093565,           0.0093565
                  15,            0.045364,            0.051325,             0.02035,             0.58191,              0.4422,             0.41851,             0.22445,            0.038903,            0.040537,            0.019616,            0.009307,            0.009307,            0.009307
                  16,            0.045073,            0.049711,            0.019928,             0.55974,             0.46054,             0.43321,             0.22875,            0.039302,            0.040224,            0.018807,           0.0092575,           0.0092575,           0.0092575
                  17,            0.045039,            0.050904,            0.019356,             0.54555,             0.47478,              0.4436,             0.23925,            0.038497,            0.039612,            0.018015,            0.009208,            0.009208,            0.009208
                  18,            0.044371,             0.05038,            0.018606,             0.55318,             0.47186,             0.45704,             0.24615,            0.038373,            0.039508,            0.017635,           0.0091585,           0.0091585,           0.0091585
                  19,            0.044623,            0.049782,            0.018625,             0.68265,             0.46049,             0.46585,             0.25455,            0.038218,              0.0394,            0.017295,            0.009109,            0.009109,            0.009109
                  20,             0.04393,            0.049457,            0.018075,             0.62001,             0.47633,             0.48047,              0.2606,            0.038311,            0.039394,            0.016698,           0.0090595,           0.0090595,           0.0090595
                  21,            0.044065,            0.049026,            0.017823,              0.6636,             0.48753,             0.48335,             0.26239,            0.037855,            0.039229,            0.016472,             0.00901,             0.00901,             0.00901
                  22,            0.043772,            0.049187,            0.017311,             0.59664,             0.49098,             0.49582,             0.26766,            0.038053,            0.039106,            0.016027,           0.0089605,           0.0089605,           0.0089605
                  23,            0.043531,            0.049183,            0.016989,             0.65232,             0.49422,             0.50818,             0.27715,            0.037466,            0.038733,            0.015717,            0.008911,            0.008911,            0.008911
                  24,            0.043431,            0.049209,             0.01673,             0.60691,             0.50265,             0.51151,             0.27628,            0.037679,            0.038835,            0.015153,           0.0088615,           0.0088615,           0.0088615
                  25,            0.043304,            0.048635,            0.016415,              0.6711,             0.49602,             0.51515,             0.27886,            0.037605,            0.038703,            0.015033,            0.008812,            0.008812,            0.008812
                  26,            0.043353,            0.049153,            0.016286,             0.69538,             0.51212,             0.52521,             0.28689,            0.037385,            0.038535,            0.014562,           0.0087625,           0.0087625,           0.0087625
                  27,             0.04307,            0.048781,            0.015884,             0.71579,             0.50248,             0.53983,             0.29611,            0.037222,            0.038476,            0.014552,            0.008713,            0.008713,            0.008713
                  28,            0.043123,            0.049094,            0.015907,             0.67788,             0.51411,             0.54758,             0.29911,            0.037123,            0.038299,             0.01409,           0.0086635,           0.0086635,           0.0086635
                  29,            0.042902,            0.049002,            0.015745,             0.72618,              0.5137,             0.56383,             0.30738,            0.037013,            0.038089,            0.013907,            0.008614,            0.008614,            0.008614
                  30,            0.042647,            0.048304,            0.015206,             0.72471,             0.51554,             0.56879,             0.31389,            0.036713,             0.03802,            0.013619,           0.0085645,           0.0085645,           0.0085645
