               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.03739,             0.04438,            0.012693,             0.73404,             0.51512,             0.53878,             0.30971,            0.035392,            0.036689,            0.013971,            0.070019,           0.0033312,           0.0033312
                   1,            0.040748,            0.045655,            0.014001,             0.63771,             0.50021,             0.51724,             0.28659,            0.036512,            0.037548,            0.015264,            0.039986,           0.0066316,           0.0066316
                   2,            0.043549,            0.046381,             0.01588,              0.6748,             0.47929,             0.47482,             0.26031,            0.037588,            0.039127,            0.018076,           0.0099199,           0.0098989,           0.0098989
                   3,            0.044017,            0.047437,            0.017243,             0.66983,              0.4958,              0.4875,             0.26045,            0.038592,            0.038842,            0.017613,           0.0098515,           0.0098515,           0.0098515
                   4,            0.043399,            0.048697,            0.016995,             0.66631,             0.48325,             0.48421,             0.26697,            0.037239,            0.038335,            0.016855,           0.0098515,           0.0098515,           0.0098515
                   5,            0.042548,            0.048351,            0.016307,             0.68517,             0.49696,             0.50459,             0.28168,            0.036618,            0.038021,            0.016086,            0.009802,            0.009802,            0.009802
                   6,            0.042048,            0.047563,            0.016092,             0.71132,             0.50057,             0.51344,             0.28821,            0.036454,            0.037965,            0.015966,           0.0097525,           0.0097525,           0.0097525
                   7,             0.04174,            0.046941,            0.015804,             0.69165,             0.50776,             0.52302,              0.2961,             0.03576,            0.037726,            0.015016,            0.009703,            0.009703,            0.009703
                   8,            0.041579,            0.047239,            0.015305,             0.69584,             0.51748,             0.53448,             0.30026,            0.035576,            0.037254,             0.01476,           0.0096535,           0.0096535,           0.0096535
                   9,            0.041318,            0.046593,            0.015058,             0.69673,             0.52492,             0.53692,             0.30568,            0.035383,            0.037159,            0.014258,            0.009604,            0.009604,            0.009604
                  10,            0.040844,            0.046276,            0.014666,             0.73252,             0.51526,             0.54786,             0.31015,            0.035234,            0.037165,            0.014421,           0.0095545,           0.0095545,           0.0095545
                  11,            0.040512,             0.04596,            0.014435,             0.73148,             0.51858,             0.54983,             0.31541,            0.035424,            0.037081,            0.014108,            0.009505,            0.009505,            0.009505
                  12,            0.040192,            0.045842,            0.014168,             0.67811,             0.52341,             0.56718,             0.32671,            0.034803,            0.036738,            0.013428,           0.0094555,           0.0094555,           0.0094555
                  13,            0.040099,            0.045902,            0.013992,              0.7604,             0.51759,             0.56586,             0.32401,            0.034828,            0.036944,            0.013395,            0.009406,            0.009406,            0.009406
                  14,            0.039955,            0.045463,            0.013614,             0.73561,             0.53492,             0.57881,             0.33954,            0.034509,            0.036638,            0.013107,           0.0093565,           0.0093565,           0.0093565
                  15,            0.039722,             0.04595,            0.013432,             0.75281,             0.52882,             0.59023,             0.33699,            0.034289,            0.037005,            0.013156,            0.009307,            0.009307,            0.009307
                  16,            0.039749,            0.044552,            0.013391,             0.66704,             0.58227,             0.59441,             0.34818,            0.034154,            0.036147,            0.012616,           0.0092575,           0.0092575,           0.0092575
                  17,            0.039782,            0.045699,            0.013054,              0.5897,             0.62913,              0.6076,             0.35171,            0.034108,            0.036152,            0.012379,            0.009208,            0.009208,            0.009208
                  18,            0.039329,            0.045343,            0.012731,             0.64644,               0.607,             0.61635,              0.3601,            0.034052,            0.036055,            0.012254,           0.0091585,           0.0091585,           0.0091585
                  19,            0.039294,             0.04482,            0.012865,             0.73019,             0.61405,              0.6232,             0.36822,            0.033578,            0.035824,            0.011664,            0.009109,            0.009109,            0.009109
                  20,            0.038939,            0.044541,            0.012632,             0.65055,             0.61667,             0.62184,             0.36541,            0.033432,            0.035925,            0.011728,           0.0090595,           0.0090595,           0.0090595
                  21,            0.039147,            0.044257,            0.012414,             0.74604,             0.59743,             0.62581,             0.36747,            0.033377,            0.035778,            0.011591,             0.00901,             0.00901,             0.00901
                  22,            0.038979,            0.044483,             0.01227,             0.68127,             0.61164,              0.6249,             0.36735,            0.033392,            0.035819,            0.011524,           0.0089605,           0.0089605,           0.0089605
                  23,            0.038712,            0.044639,            0.012178,              0.7338,             0.60086,             0.62871,              0.3707,            0.033489,            0.035715,            0.011538,            0.008911,            0.008911,            0.008911
                  24,            0.038813,            0.044505,            0.011943,             0.66304,               0.617,             0.63463,             0.37563,            0.033068,            0.035598,            0.011236,           0.0088615,           0.0088615,           0.0088615
                  25,            0.038616,            0.044201,            0.011889,              0.7357,             0.60425,             0.63529,             0.37576,            0.033004,            0.035573,            0.011248,            0.008812,            0.008812,            0.008812
                  26,            0.038428,            0.044572,            0.011905,             0.75178,             0.60446,             0.63813,               0.381,            0.032832,             0.03539,            0.010966,           0.0087625,           0.0087625,           0.0087625
