               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068309,            0.061989,            0.061972,             0.70192,             0.13431,             0.10506,            0.048376,            0.046457,            0.046939,            0.053552,            0.070019,           0.0033312,           0.0033312
                   1,            0.054264,            0.055226,            0.043362,             0.80947,             0.20249,             0.20246,            0.090516,            0.044818,             0.04363,            0.040564,            0.039986,           0.0066316,           0.0066316
                   2,            0.051935,             0.05342,            0.032984,             0.85634,             0.25104,             0.26573,             0.13577,            0.041638,            0.042508,            0.033892,           0.0099199,           0.0098989,           0.0098989
                   3,            0.049127,            0.052279,            0.028006,             0.81789,             0.30119,             0.31441,             0.16513,             0.03967,            0.041533,            0.028317,           0.0098515,           0.0098515,           0.0098515
                   4,            0.046426,            0.051104,             0.02492,             0.83522,             0.30548,             0.32728,             0.18032,             0.03886,            0.040687,            0.025849,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045036,            0.050102,             0.02244,             0.81473,             0.33169,             0.36605,             0.20059,            0.037807,            0.040311,            0.023103,            0.009802,            0.009802,            0.009802
                   6,            0.043854,            0.049961,            0.020963,              0.6502,              0.4026,             0.38495,             0.21929,            0.037099,            0.039088,            0.021251,           0.0097525,           0.0097525,           0.0097525
                   7,            0.042379,            0.049335,            0.019402,             0.63964,             0.42203,             0.41762,             0.24231,            0.035973,            0.038726,            0.019796,            0.009703,            0.009703,            0.009703
                   8,             0.04163,            0.047573,             0.01863,             0.68302,             0.42393,             0.44249,              0.2628,            0.034939,            0.038471,             0.01842,           0.0096535,           0.0096535,           0.0096535
                   9,             0.04096,            0.047439,            0.017719,             0.65028,             0.46176,             0.43967,             0.25955,            0.034465,            0.037516,            0.017048,            0.009604,            0.009604,            0.009604
                  10,            0.040459,            0.047025,            0.016953,             0.71391,             0.45113,             0.47016,             0.28127,            0.034081,            0.037059,            0.016383,           0.0095545,           0.0095545,           0.0095545
                  11,            0.039648,            0.046405,            0.015979,             0.67838,             0.53064,              0.5111,             0.30256,            0.033901,            0.037289,             0.01546,            0.009505,            0.009505,            0.009505
                  12,            0.039477,            0.045823,            0.015377,             0.71005,               0.525,             0.53628,             0.31537,            0.033952,            0.036746,            0.014867,           0.0094555,           0.0094555,           0.0094555
                  13,            0.038781,            0.045762,            0.014694,             0.74315,             0.53748,             0.55944,             0.33502,            0.033274,             0.03642,            0.013946,            0.009406,            0.009406,            0.009406
                  14,            0.038894,            0.044983,            0.014106,             0.74123,             0.54214,             0.57342,             0.34047,            0.033054,             0.03613,            0.013521,           0.0093565,           0.0093565,           0.0093565
