               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.074474,0.060773,0.064282,0.74782,0.1278,0.09264,0.039356,0.049664,0.04808,0.056747,0.070019,0.0033312,0.0033312
1,0.057728,0.056884,0.046199,0.81676,0.19069,0.18484,0.086963,0.045212,0.044826,0.044023,0.039986,0.0066316,0.0066316
2,0.054608,0.054207,0.036244,0.81753,0.22781,0.22447,0.11031,0.043809,0.04626,0.038156,0.0099199,0.0098989,0.0098989
3,0.051283,0.053161,0.03047,0.8034,0.25578,0.27831,0.13983,0.041881,0.042657,0.031149,0.0098515,0.0098515,0.0098515
4,0.048885,0.053519,0.026481,0.82262,0.28341,0.3032,0.15573,0.04111,0.042118,0.028941,0.0098515,0.0098515,0.0098515
5,0.047296,0.052521,0.023799,0.82225,0.30887,0.33625,0.17946,0.039808,0.041132,0.024781,0.009802,0.009802,0.009802
6,0.045899,0.051559,0.022809,0.81359,0.32417,0.36054,0.19519,0.039063,0.04038,0.02241,0.0097525,0.0097525,0.0097525
7,0.045148,0.050604,0.021338,0.63825,0.39534,0.38182,0.20505,0.039181,0.040391,0.020367,0.009703,0.009703,0.009703
8,0.044769,0.050561,0.020043,0.61269,0.43505,0.41983,0.22549,0.038317,0.039885,0.019504,0.0096535,0.0096535,0.0096535
9,0.04414,0.049603,0.019077,0.66409,0.42064,0.42801,0.23291,0.037415,0.039368,0.019803,0.009604,0.009604,0.009604
10,0.042612,0.048791,0.018519,0.67994,0.44153,0.44229,0.25056,0.036209,0.038874,0.018373,0.0095545,0.0095545,0.0095545
11,0.042276,0.048302,0.017965,0.64731,0.45932,0.46616,0.26507,0.036236,0.038271,0.017745,0.009505,0.009505,0.009505
12,0.041512,0.047907,0.017426,0.6266,0.4658,0.47892,0.27511,0.035446,0.037928,0.016822,0.0094555,0.0094555,0.0094555
13,0.040983,0.047709,0.016781,0.60779,0.51355,0.49367,0.28472,0.035362,0.038018,0.015943,0.009406,0.009406,0.009406
14,0.040909,0.047212,0.016154,0.63965,0.51954,0.52249,0.30099,0.034913,0.037542,0.015945,0.0093565,0.0093565,0.0093565
15,0.040719,0.047555,0.015811,0.71624,0.51257,0.52754,0.30674,0.034549,0.037377,0.015023,0.009307,0.009307,0.009307
16,0.040498,0.046139,0.015673,0.68862,0.51629,0.54381,0.31401,0.034807,0.037202,0.014703,0.0092575,0.0092575,0.0092575
17,0.040469,0.047115,0.01516,0.72459,0.53064,0.55351,0.32158,0.034293,0.036887,0.014207,0.009208,0.009208,0.009208
18,0.039968,0.04676,0.01465,0.72558,0.5229,0.5789,0.33536,0.034334,0.036881,0.01383,0.0091585,0.0091585,0.0091585
